curriculum_vocab_id,curriculum_word,curriculum_version,master_word,cefr,freq_rank,freq_grade,meaning_ko,match_type
1946,amaze,2015,Amaze,B1,3549,고빈도,놀라게 하다,exact
1947,ambassador,2015,Ambassador,B1,2500,중빈도,대사,exact
1948,ambition,2015,Ambition,B1,1838,고빈도,"야망, 포부",exact
1949,among,2015,Among,A2,50,고빈도,"~사이에, ~중에",exact
1950,amount,2015,Amount,A2,200,고빈도,"양, 액수",exact
1951,amplify,2015,,,,,,none
1952,amuse,2015,Amuse,B1,6808,중빈도,즐겁게하다,exact
1953,anchor,2015,Anchor,A2,1500,중빈도,"닻, 지지대",exact
1954,ancient,2015,Ancient,A2,1200,중빈도,"고대의, 아주 오래된",exact
1955,and,2015,and,A1,2,고빈도,"그리고, ~와/과",exact
1956,angel,2015,Angel,A1,800,고빈도,천사,exact
1957,anger,2015,Anger,A2,1516,고빈도,분노,exact
1958,angle,2015,Angle,A2,1500,중빈도,"각도, 모서리",exact
1959,animal,2015,Animal,A1,210,고빈도,동물,exact
1960,anniversary,2015,Anniversary,A2,1800,중빈도,기념일,exact
1961,announce,2015,Announce,B1,2472,중빈도,발표하다,exact
1962,annoy,2015,Annoy,A2,6810,고빈도,짜증나게하다,exact
1963,annual,2015,Annual,B1,1500,중빈도,"매년의, 연례의",exact
1964,another,2015,Another,A1,15,고빈도,"다른, 또 다른",exact
1965,answer,2015,Answer,A1,2648,고빈도,대답하다,exact
1966,ant,2015,Ant,A1,2500,중빈도,개미,exact
1967,anticipate,2015,Anticipate,B1,2038,중빈도,예상하다,exact
1968,anxiety,2015,Anxiety,B1,2000,중빈도,"불안, 걱정",exact
1969,anxious,2015,Anxious,B1,1800,중빈도,"불안한, 걱정하는",exact
1970,any,2015,Any,A1,50,고빈도,"어떤, 아무",exact
1971,apart,2015,Apart,A2,1200,중빈도,"떨어져서, 따로",exact
1972,apology,2015,Apology,A2,1200,고빈도,사과,exact
1973,apparent,2015,Apparent,B1,1573,중빈도,"명백한, 뚜렷한",exact
1974,appeal,2015,Appeal,B1,1860,고빈도,"호소, 매력",exact
1975,appear,2015,Appear,A2,2997,고빈도,나타나다,exact
1976,apple,2015,Apple,A1,500,고빈도,사과,exact
1977,applicant,2015,Applicant,B1,3200,중빈도,"지원자, 신청자",exact
1978,apply,2015,Apply,A2,2938,고빈도,지원하다,exact
1979,appoint,2015,Appoint,B1,2408,중빈도,임명하다,exact
1980,appreciate,2015,Appreciate,B1,2725,중빈도,감사하다,exact
1981,approach,2015,Approach,B1,3742,고빈도,접근하다,exact
1982,appropriate,2015,Appropriate,B1,2800,중빈도,"적절한, 알맞은",exact
1983,approve,2015,Approve,B1,2415,중빈도,승인하다,exact
1984,approximate,2015,Approximate,B1,3500,중빈도,"대략적인, 근사치의",exact
1985,architect,2015,Architect,A2,2000,중빈도,건축가,exact
1986,architecture,2015,Architecture,B1,1800,중빈도,"건축, 건축학",exact
1987,archive,2015,Archive,B1,2405,중빈도,보관하다,exact
1988,area,2015,Area,A2,800,고빈도,지역|면적,exact
1989,argue,2015,Argue,A2,2456,고빈도,논쟁하다,exact
1990,arise,2015,Arise,B2,3703,중빈도,발생하다,exact
1991,arm,2015,Arm,A1,800,고빈도,팔,exact
1992,army,2015,Army,A2,1500,중빈도,군대,exact
1993,around,2015,Around,A1,50,고빈도,주위에,exact
1994,arrange,2015,Arrange,B1,2926,중빈도,배열하다,exact
1995,arrest,2015,Arrest,A2,1500,고빈도,체포하다,exact
1996,arrive,2015,Arrive,A1,2845,고빈도,도착하다,exact
1997,arrow,2015,Arrow,A1,1800,고빈도,화살,exact
1998,art,2015,Art,A1,200,고빈도,"예술, 미술",exact
1999,article,2015,Article,A2,150,고빈도,"기사, 물품, 조항",exact
2000,artificial,2015,Artificial,A2,1200,중빈도,"인공적인, 가짜의",exact
2001,as,2015,As,A1,23,고빈도,"처럼, ~로서, ~만큼",exact
2002,ash,2015,Ash,A2,2800,중빈도,재,exact
2003,aside,2015,Aside,A2,2500,중빈도,"옆에, 제쳐두고, ~은 그렇고",exact
2004,ask,2015,Ask,A1,365,고빈도,"묻다, 요청하다",exact
2005,asleep,2015,Asleep,A1,1800,중빈도,잠든,exact
2006,aspect,2015,Aspect,B1,1535,중빈도,고빈도,exact
2007,aspire,2015,aspire,B2,8669,중빈도,"열망하다, 갈망하다",exact
2008,assault,2015,Assault,B2,7497,중빈도,습격하다,exact
2009,assemble,2015,Assemble,B1,2041,중빈도,"조립하다, 모이다",exact
2010,assert,2015,Assert,B1,2153,중빈도,주장하다,exact
2011,assess,2015,Assess,B1,2413,중빈도,평가하다,exact
2012,asset,2015,Asset,B2,2500,중빈도,"자산, 재산",exact
2013,assign,2015,Assign,B1,1844,중빈도,"할당하다, 배정하다",exact
2014,assist,2015,Assist,B1,2517,중빈도,돕다,exact
2015,associate,2015,Associate,B1,1781,중빈도,연관짓다,exact
2016,assume,2015,Assume,B1,2631,중빈도,추정하다,exact
2017,assure,2015,Assure,B1,1663,고빈도,"확신시키다, 보장하다",exact
2018,astonish,2015,Astonish,B1,5200,중빈도,깜짝 놀라게 하다,exact
2019,at,2015,At,A1,20,고빈도,"에, ~에서",exact
2020,athlete,2015,Athlete,A2,890,고빈도,운동선수,exact
2021,atmosphere,2015,Atmosphere,B1,678,고빈도,"대기, 분위기",exact
2022,atom,2015,Atom,A2,900,고빈도,원자,exact
2023,attach,2015,Attach,B1,2584,중빈도,첨부하다,exact
2024,attack,2015,Attack,B1,2806,중빈도,공격하다,exact
2025,attain,2015,Attain,C1,4322,중빈도,달성하다,exact
2026,attempt,2015,Attempt,B1,2561,중빈도,시도하다,exact
2027,attend,2015,Attend,A2,2735,고빈도,참석하다,exact
2028,attention,2015,Attention,A1,300,고빈도,"주의, 주목, 관심",exact
2029,attitude,2015,Attitude,A2,600,고빈도,"태도, 자세",exact
2030,attorney,2015,Attorney,B1,3500,중빈도,변호사,exact
2031,attract,2015,Attract,A2,1200,중빈도,"끌다, 유치하다",exact
2032,attribute,2015,Attribute,B1,2000,중빈도,"속성, 특성",exact
2033,auction,2015,Auction,C1,3913,중빈도,경매하다,exact
2034,audience,2015,Audience,A1,300,고빈도,"청중, 관객",exact
2035,aunt,2015,Aunt,A1,600,고빈도,이모|고모|숙모|외숙모,exact
2036,authentic,2015,Authentic,B1,1800,중빈도,진짜의|진정한,exact
2037,author,2015,Author,A1,400,고빈도,작가|저자,exact
2038,autobiography,2015,Autobiography,B1,4500,저빈도,자서전,exact
2039,automatic,2015,Automatic,A2,2500,중빈도,"자동의, 자동적인",exact
2040,automobile,2015,Automobile,A2,2800,중빈도,자동차,exact
2041,available,2015,Available,A2,500,고빈도,"이용 가능한, 구할 수 있는",exact
2042,avenue,2015,Avenue,A2,1500,중빈도,"대로, ~가",exact
2043,average,2015,Average,B1,3026,중빈도,평균을 내다,exact
2044,avoid,2015,Avoid,A2,2573,고빈도,피하다,exact
2045,await,2015,Await,B1,4569,중빈도,기다리다,exact
2046,awake,2015,Awake,A2,2500,중빈도,깨어있는,exact
2047,award,2015,Award,B1,6882,중빈도,수여하다,exact
2048,aware,2015,Aware,A2,2000,중빈도,"알고 있는, 인지하는",exact
2049,away,2015,Away,A1,100,고빈도,"떨어져서, 멀리",exact
2050,awesome,2015,Awesome,A1,1500,중빈도,"굉장한, 멋진",exact
2051,awful,2015,Awful,A1,1722,고빈도,끔찍한,exact
2052,awkward,2015,Awkward,A2,2800,중빈도,"어색한, 서투른",exact
2054,baby,2015,Baby,A1,200,고빈도,아기,exact
1831,back,2015,Back,A2,3153,고빈도,지지하다,exact
2055,background,2015,Background,A2,500,고빈도,"배경, 경력",exact
2056,bad,2015,Bad,A1,100,고빈도,나쁜,exact
2057,bake,2015,Bake,A2,2764,고빈도,굽다,exact
2058,balance,2015,Balance,B1,3100,중빈도,균형을 잡다,exact
2059,ball,2015,Ball,A1,300,고빈도,공,exact
2060,balloon,2015,Balloon,A1,700,고빈도,풍선,exact
2061,ban,2015,Ban,B1,3340,고빈도,금지하다,exact
2062,band,2015,Band,A1,750,고빈도,"밴드, 악단",exact
2063,bang,2015,Bang,A1,1513,고빈도,쾅 하는 소리,exact
2064,bank,2015,Bank,A1,350,고빈도,은행,exact
2065,bankrupt,2015,Bankrupt,B1,5000,저빈도,"파산한, 파산시키다",exact
2066,bar,2015,Bar,A1,800,고빈도,"술집, 막대, 장애물",exact
2067,bare,2015,Bare,A2,1785,고빈도,"벌거벗은, 텅 빈",exact
2068,bargain,2015,Bargain,B2,3911,고빈도,흥정하다,exact
2069,bark,2015,Bark,A1,1800,고빈도,나무껍질,exact
2070,barn,2015,Barn,A1,2200,고빈도,헛간,exact
2071,barrier,2015,Barrier,B1,1200,고빈도,"장벽, 장애물",exact
2072,base,2015,Base,A1,300,고빈도,"기초, 기반, 밑바닥",exact
2073,baseball,2015,Baseball,A1,1586,고빈도,중급,exact
2074,basic,2015,Basic,A1,200,고빈도,"기본적인, 기초적인",exact
2075,basis,2015,Basis,B1,1500,중빈도,"근거, 이유, 토대",exact
2076,basket,2015,Basket,A1,800,고빈도,바구니,exact
2077,basketball,2015,Basketball,A1,789,고빈도,농구,exact
1832,bat,2015,Bat,A2,2340,고빈도,배트로 치다,exact
2078,bath,2015,Bath,A1,876,고빈도,목욕,exact
2079,bathroom,2015,Bathroom,A1,654,고빈도,욕실|화장실,exact
2080,battery,2015,Battery,A1,987,고빈도,배터리,exact
2081,battle,2015,Battle,B1,4188,고빈도,전투하다,exact
2082,bay,2015,Bay,A2,1800,중빈도,만,exact
1820,be,2015,Be,A1,20,고빈도,"이다, 있다, 되다",exact
2083,beach,2015,Beach,A1,600,고빈도,"해변, 바닷가",exact
2084,beam,2015,Beam,A2,1804,고빈도,"광선, 들보",exact
2085,bean,2015,Bean,A1,1500,고빈도,콩,exact
2086,bear,2015,Bear,B1,4338,최고빈도,견디다,exact
2087,beard,2015,Beard,A1,2800,중빈도,턱수염,exact
2088,beast,2015,Beast,A2,3500,중빈도,"짐승, 야수",exact
2089,beat,2015,Beat,A2,2752,고빈도,이기다,exact
2090,beauty,2015,Beauty,A1,800,고빈도,"아름다움, 미",exact
2091,because,2015,Because,A1,50,고빈도,"왜냐하면, ~때문에",exact
2092,become,2015,Become,A1,3000,최고빈도,되다,exact
2093,bed,2015,Bed,A1,200,고빈도,침대,exact
2094,bedroom,2015,Bedroom,A1,789,고빈도,침실,exact
2095,bee,2015,Bee,A1,2100,중빈도,벌,exact
2096,beef,2015,Beef,A1,1636,고빈도,쇠고기,exact
2097,beer,2015,Beer,A2,2500,중빈도,맥주,exact
2098,before,2015,Before,A1,50,고빈도,"전에, ~앞에",exact
2099,beg,2015,Beg,B1,7229,중빈도,간청하다,exact
2100,begin,2015,Begin,A1,2742,최고빈도,시작하다,exact
2101,behalf,2015,Behalf,B1,1896,중빈도,대신하여,exact
2102,behave,2015,Behave,A1,1200,중빈도,"행동하다, 처신하다",exact
2103,behind,2015,Behind,A1,150,고빈도,~뒤에,exact
2104,believe,2015,Believe,A1,2629,고빈도,믿다,exact
2105,bell,2015,Bell,A1,700,고빈도,종,exact
2106,belong,2015,Belong,A2,2794,고빈도,속하다,exact
2107,below,2015,Below,A1,900,고빈도,아래에,exact
2108,bend,2015,Bend,B1,8007,중빈도,구부리다,exact
2109,beneath,2015,Beneath,A2,1200,중빈도,아래에,exact
2110,benefit,2015,Benefit,B1,700,고빈도,"이익, 혜택",exact
2111,berry,2015,Berry,A1,3500,중빈도,"베리, 열매",exact
2112,beside,2015,Beside,A1,450,고빈도,옆에,exact
2113,bet,2015,Bet,A2,1800,중빈도,"걸다, 내기하다",exact
2114,betray,2015,Betray,B1,2500,중빈도,"배신하다, 드러내다",exact
2115,between,2015,Between,A1,50,고빈도,사이에,exact
2116,beyond,2015,Beyond,A2,800,중빈도,"넘어, ~을 넘어서",exact
2117,bias,2015,Bias,B1,2500,저빈도,"편견, 선입견",exact
2118,bible,2015,Bible,A2,2000,중빈도,성경,exact
2119,bicycle,2015,Bicycle,A1,600,고빈도,자전거,exact
2120,big,2015,Big,A1,100,고빈도,"큰, 중요한",exact
2121,bill,2015,Bill,A2,6853,고빈도,청구서를 보내다,exact
2122,billion,2015,Billion,A2,1500,중빈도,십억,exact
2123,bin,2015,Bin,A1,800,고빈도,쓰레기통|통,exact
2124,bind,2015,Bind,B1,1650,고빈도,"묶다, 결속하다",exact
2125,biography,2015,Biography,A2,2500,중빈도,전기,exact
2126,biology,2015,Biology,A2,1800,중빈도,생물학,exact
2127,bird,2015,Bird,A1,700,고빈도,새,exact
2128,birth,2015,Birth,A1,1537,고빈도,"출생, 탄생",exact
2129,birthday,2015,Birthday,A1,600,고빈도,생일,exact
2130,bishop,2015,Bishop,B1,1629,중빈도,주교,exact
2131,bit,2015,Bit,A1,500,고빈도,"조금, 약간, 한 조각",exact
2132,bite,2015,Bite,A2,3471,고빈도,물다,exact
2133,bitter,2015,Bitter,A2,2800,중빈도,"쓴, 쓰라린, 격렬한",exact
2134,black,2015,Black,A1,200,고빈도,"검은색의, 검은",exact
2135,blame,2015,Blame,A2,3204,고빈도,비난하다,exact
2136,blank,2015,Blank,A2,1800,중빈도,"빈, 공백의",exact
2137,blanket,2015,Blanket,A1,900,고빈도,담요,exact
2138,blast,2015,Blast,A2,2500,중빈도,"폭발, 강한 바람",exact
2139,blend,2015,Blend,B1,7793,중빈도,섞다,exact
2140,bless,2015,Bless,A2,3000,중빈도,"축복하다, 빌다",exact
2141,blind,2015,Blind,A1,1500,고빈도,"눈이 먼, 맹인",exact
2142,blink,2015,Blink,A2,2271,고빈도,눈을 깜박이다,exact
2143,block,2015,Block,A1,1532,고빈도,고빈도,exact
2144,blonde,2015,Blonde,A1,3500,중빈도,금발의,exact
2145,blood,2015,Blood,A2,900,고빈도,피,exact
2146,bloom,2015,Bloom,A2,2105,고빈도,꽃이 피다,exact
2147,blossom,2015,Blossom,A2,3214,중빈도,꽃|꽃이 피다,exact
2148,blow,2015,Blow,A2,3474,고빈도,불다,exact
2149,blue,2015,Blue,A1,234,고빈도,파란색의|우울한,exact
2150,board,2015,Board,B1,4297,고빈도,탑승하다,exact
2151,boat,2015,Boat,A1,1000,중빈도,"보트, 배",exact
2152,body,2015,Body,A1,150,고빈도,"몸, 신체; 시체; 단체",exact
2153,boil,2015,Boil,A2,2766,고빈도,끓이다,exact
2154,bold,2015,Bold,B1,3846,중빈도,굵게하다,exact
2155,bomb,2015,Bomb,A2,1500,중빈도,폭탄,exact
2156,bond,2015,Bond,B1,1200,중빈도,"유대, 결속; 채권",exact
2157,bone,2015,Bone,A1,800,고빈도,뼈,exact
1822,book,2015,Book,A2,2934,고빈도,예약하다,exact
2158,boom,2015,Boom,A2,1500,중빈도,"붐, 급증, 호황",exact
2159,boost,2015,Boost,A2,2021,고빈도,"높이다, 증가시키다",exact
2160,boot,2015,Boot,B2,3953,중빈도,부팅하다,exact
2161,border,2015,Border,A2,1800,중빈도,"국경, 경계",exact
2162,bore,2015,Bore,A2,6809,고빈도,지루하게하다,exact
2163,borrow,2015,Borrow,A2,2488,고빈도,빌리다,exact
2164,boss,2015,Boss,A1,800,고빈도,"사장, 상사",exact
2165,both,2015,Both,A1,150,고빈도,둘 다,exact
2166,bother,2015,Bother,A2,6811,고빈도,괴롭히다,exact
2167,bottle,2015,Bottle,A1,600,고빈도,병,exact
2168,bottom,2015,Bottom,A1,900,고빈도,"바닥, 맨 아래",exact
2169,bounce,2015,Bounce,A1,1709,고빈도,"튀다, 튕기다",exact
2170,boundary,2015,Boundary,B1,2300,중빈도,"경계, 한계",exact
2171,bow,2015,Bow,A2,1839,고빈도,"절, 활",exact
2172,bowl,2015,Bowl,A1,1574,고빈도,"그릇, 사발",exact
2173,boy,2015,Boy,A1,200,고빈도,"소년, 남자아이",exact
2174,brain,2015,Brain,A1,350,고빈도,"뇌, 두뇌",exact
2175,brake,2015,Brake,A2,2322,고빈도,브레이크를 밟다,exact
2176,branch,2015,Branch,A1,450,고빈도,"나뭇가지, 지점",exact
2177,brand,2015,Brand,B1,5585,중빈도,브랜드화하다,exact
2178,brave,2015,Brave,A1,900,고빈도,용감한,exact
2179,bread,2015,Bread,A1,400,고빈도,빵,exact
2180,break,2015,Break,A1,2872,최고빈도,깨다,exact
2181,breakfast,2015,Breakfast,A1,600,고빈도,아침 식사,exact
2182,breast,2015,Breast,A2,3800,중빈도,"가슴, 젖",exact
2183,breathe,2015,Breathe,A2,3173,고빈도,숨쉬다,exact
2184,breed,2015,Breed,B1,7260,중빈도,번식시키다,exact
2185,breeze,2015,Breeze,A1,1850,중빈도,산들바람,exact
2186,brew,2015,Brew,A2,3500,중빈도,"양조하다, (차를) 끓이다",exact
2187,brick,2015,Brick,A1,1500,고빈도,벽돌,exact
2188,bride,2015,Bride,A1,2200,고빈도,신부,exact
2189,bridge,2015,Bridge,A1,750,고빈도,다리,exact
2190,brief,2015,Brief,A2,1588,고빈도,"간단한, 짧은",exact
2191,bright,2015,Bright,A1,500,고빈도,"밝은, 영리한",exact
2192,brilliant,2015,Brilliant,A2,1633,고빈도,"훌륭한, 빛나는",exact
2193,bring,2015,Bring,A1,2775,최고빈도,가져오다,exact
2194,broad,2015,Broad,A2,800,고빈도,"넓은, 광범위한",exact
2195,broadcast,2015,Broadcast,B1,2359,중빈도,방송하다,exact
2196,brother,2015,Brother,A1,200,고빈도,"형, 오빠, 남동생",exact
2197,brown,2015,Brown,A1,300,고빈도,갈색의,exact
2198,brush,2015,Brush,A1,5484,최고빈도,닦다,exact
2199,brute,2015,Brute,B1,3500,중빈도,"짐승, 야만인, 무자비한 사람",exact
2200,bubble,2015,Bubble,A1,800,고빈도,거품,exact
2201,budget,2015,Budget,B1,5579,중빈도,예산 짜다,exact
2202,bug,2015,Bug,A1,800,고빈도,"벌레, 오류",exact
2203,build,2015,Build,A2,2859,고빈도,짓다,exact
2204,bulk,2015,Bulk,B1,4000,중빈도,"대량, 부피",exact
2205,bull,2015,Bull,A1,789,고빈도,황소,exact
2206,bullet,2015,Bullet,A2,2345,중빈도,총알,exact
2207,bully,2015,Bully,A2,2890,중빈도,"괴롭히는 사람, 약자를 괴롭히다",exact
2208,bump,2015,Bump,A2,3084,고빈도,부딪치다,exact
2209,bunch,2015,Bunch,A1,1200,고빈도,송이|다발|무리,exact
2210,bundle,2015,Bundle,A2,2500,고빈도,묶음|꾸러미,exact
2211,burden,2015,Burden,B1,6000,중빈도,짐|부담,exact
2212,burn,2015,Burn,A2,3640,고빈도,태우다,exact
2213,burst,2015,Burst,A2,1889,고빈도,터지다,exact
2214,bury,2015,Bury,A2,1842,고빈도,묻다,exact
2215,bush,2015,Bush,A2,1500,중빈도,"덤불, 관목",exact
2216,business,2015,Business,A2,150,고빈도,"사업, 업무",exact
2217,busy,2015,Busy,A1,300,고빈도,바쁜,exact
2218,but,2015,But,A1,15,고빈도,"그러나, 하지만",exact
2219,butcher,2015,Butcher,A2,4000,중빈도,"정육점 주인, 푸줏간 주인",exact
2220,button,2015,Button,B1,7131,중빈도,단추를 채우다,exact
2221,buy,2015,Buy,A2,2497,고빈도,사다,exact
2222,buzz,2015,Buzz,B1,5538,중빈도,윙윙거리다,exact
2223,by,2015,By,A1,30,고빈도,"…에 의하여, 옆에",exact
2225,cab,2015,Cab,A1,2800,중빈도,택시,exact
